# # Copies and Copyright-Notice
#
#      RegulonDB is free for academic/noncommercial use
#
#      User is not entitled to change or erase data sets of the RegulonDB
#      database or to eliminate copyright notices from RegulonDB. Furthermore,
#      User is not entitled to expand RegulonDB or to integrate RegulonDB partly
#      or as a whole into other databank systems, without prior written consent
#      from CCG-UNAM.
#
#      Please check the license at http://regulondb.ccg.unam.mx/menu/download/full_version/terms_and_conditions.jsp
#
# Citation
#
#      Santos-Zavaleta A et al. (2019). "RegulonDB v 10.5: tackling challenges to unify classic and high throughput knowledge of gene regulation in E. coli K-12.",
#      Nucleic Acids Res. 2019 Jan 8;47(D1):D212-D220. doi: 10.1093/nar/gky1077.
#
#
# Contact
#
#      Person: RegulonDB Team
#      Web Page: http://regulondb.ccg.unam.mx/menu/about_regulondb/contact_us/index.jsp
#          (regulondb@ccg.unam.mx)
#
# # RegulonDB: 10.6
# Table: GENE_PRODUCT_LINK
# Columns:
# 1) GENE_ID
# 2) PRODUCT_ID
ECK120000001	ECK120004477
ECK120000002	ECK120004478
ECK120000003	ECK120004479
ECK120000004	ECK120004480
ECK120000005	ECK120004481
ECK120000006	ECK120004482
ECK120000007	ECK120004483
ECK120000008	ECK120004484
ECK120000009	ECK120004485
ECK120000010	ECK120004486
ECK120000011	ECK120004487
ECK120000012	ECK120004488
ECK120000013	ECK120004489
ECK120000014	ECK120004490
ECK120000015	ECK120004491
ECK120000016	ECK120004492
ECK120000017	ECK120004493
ECK120000018	ECK120004494
ECK120000019	ECK120004495
ECK120000020	ECK120004496
ECK120000021	ECK120004497
ECK120000022	ECK120004498
ECK120000023	ECK120004499
ECK120000024	ECK120004500
ECK120000025	ECK120004501
ECK120000026	ECK120004502
ECK120000027	ECK120004503
ECK120000028	ECK120004504
ECK120000029	ECK120004505
ECK120000030	ECK120004506
ECK120000031	ECK120004507
ECK120000032	ECK120004508
ECK120000033	ECK120004509
ECK120000034	ECK120004510
ECK120000035	ECK120004511
ECK120000036	ECK120004512
ECK120000037	ECK120004513
ECK120000038	ECK120004514
ECK120000039	ECK120004515
ECK120000040	ECK120004516
ECK120000041	ECK120004517
ECK120000042	ECK120004518
ECK120000043	ECK120004519
ECK120000044	ECK120004520
ECK120000045	ECK120004521
ECK120000046	ECK120004522
ECK120000047	ECK120004523
ECK120000048	ECK120004524
ECK120000049	ECK120004525
ECK120000050	ECK120004526
ECK120000051	ECK120004527
ECK120000052	ECK120004528
ECK120000053	ECK120004529
ECK120000054	ECK120004530
ECK120000055	ECK120004531
ECK120000056	ECK120004532
ECK120000057	ECK120004533
ECK120000058	ECK120004534
ECK120000059	ECK120004535
ECK120000060	ECK120004536
ECK120000061	ECK120004537
ECK120000062	ECK120004538
ECK120000063	ECK120004539
ECK120000064	ECK120004540
ECK120000065	ECK120004541
ECK120000066	ECK120004542
ECK120000067	ECK120004543
ECK120000068	ECK120004544
ECK120000069	ECK120004545
ECK120000070	ECK120004546
ECK120000071	ECK120004547
ECK120000072	ECK120004548
ECK120000073	ECK120004549
ECK120000074	ECK120004550
ECK120000075	ECK120004551
ECK120000076	ECK120004552
ECK120000077	ECK120004553
ECK120000078	ECK120004554
ECK120000079	ECK120004555
ECK120000080	ECK120004556
ECK120000081	ECK120004557
ECK120000082	ECK120004558
ECK120000083	ECK120004559
ECK120000084	ECK120004560
ECK120000085	ECK120004561
ECK120000086	ECK120004562
ECK120000087	ECK120004563
ECK120000088	ECK120004564
ECK120000089	ECK120004565
ECK120000090	ECK120004566
ECK120000091	ECK120004567
ECK120000092	ECK120004568
ECK120000093	ECK120004569
ECK120000094	ECK120004570
ECK120000095	ECK120004571
ECK120000096	ECK120004572
ECK120000097	ECK120004573
ECK120000098	ECK120004574
ECK120000099	ECK120004575
ECK120000100	ECK120004576
ECK120000101	ECK120004577
ECK120000102	ECK120004578
ECK120000103	ECK120004579
ECK120000104	ECK120004580
ECK120000105	ECK120004581
ECK120000106	ECK120004582
ECK120000107	ECK120004583
ECK120000108	ECK120004584
ECK120000109	ECK120004585
ECK120000110	ECK120004586
ECK120000111	ECK120004587
ECK120000112	ECK120004588
ECK120000113	ECK120004589
ECK120000114	ECK120004590
ECK120000115	ECK120004591
ECK120000116	ECK120004592
ECK120000117	ECK120004593
ECK120000118	ECK120004594
ECK120000119	ECK120004595
ECK120000120	ECK120004596
ECK120000121	ECK120004597
ECK120000122	ECK120004598
ECK120000123	ECK120004599
ECK120000124	ECK120004600
ECK120000125	ECK120004601
ECK120000126	ECK120004602
ECK120000127	ECK120004603
ECK120000128	ECK120004604
ECK120000129	ECK120004605
ECK120000130	ECK120004606
ECK120000131	ECK120004607
ECK120000132	ECK120004608
ECK120000133	ECK120004609
ECK120000134	ECK120004610
ECK120000135	ECK120004611
ECK120000136	ECK120004612
ECK120000137	ECK120004613
ECK120000138	ECK120004614
ECK120000139	ECK120004615
ECK120000140	ECK120004616
ECK120000141	ECK120004617
ECK120000142	ECK120015145
ECK120000142	ECK125256975
ECK120000143	ECK120004619
ECK120000144	ECK120004620
ECK120000145	ECK120004621
ECK120000146	ECK120004622
ECK120000147	ECK120004623
ECK120000148	ECK120004624
ECK120000149	ECK120004625
ECK120000150	ECK120004626
ECK120000151	ECK120004627
ECK120000152	ECK120004628
ECK120000153	ECK120004629
ECK120000154	ECK120004630
ECK120000155	ECK120004631
ECK120000156	ECK120004632
ECK120000157	ECK120004633
ECK120000158	ECK120004634
ECK120000159	ECK120004635
ECK120000160	ECK120004636
ECK120000161	ECK120004637
ECK120000162	ECK120004638
ECK120000163	ECK120004639
ECK120000164	ECK120004640
ECK120000165	ECK120004641
ECK120000166	ECK120004642
ECK120000167	ECK120004643
ECK120000168	ECK120004644
ECK120000169	ECK120004645
ECK120000170	ECK120004646
ECK120000171	ECK120004647
ECK120000172	ECK120004648
ECK120000173	ECK120004649
ECK120000174	ECK120004650
ECK120000175	ECK120004651
ECK120000176	ECK120004652
ECK120000177	ECK120004653
ECK120000178	ECK120004654
ECK120000179	ECK120004655
ECK120000180	ECK120004656
ECK120000181	ECK120004657
ECK120000182	ECK120004658
ECK120000183	ECK120004659
ECK120000184	ECK120004660
ECK120000185	ECK120004661
ECK120000186	ECK120004662
ECK120000187	ECK120004663
ECK120000188	ECK120004664
ECK120000189	ECK120004665
ECK120000190	ECK120004666
ECK120000191	ECK120004667
ECK120000192	ECK120004668
ECK120000193	ECK120004669
ECK120000194	ECK120004670
ECK120000195	ECK120004671
ECK120000196	ECK120004672
ECK120000197	ECK120004673
ECK120000198	ECK120004674
ECK120000199	ECK120004675
ECK120000200	ECK120004676
ECK120000201	ECK120004677
ECK120000202	ECK120004678
ECK120000203	ECK120004679
ECK120000204	ECK120004680
ECK120000205	ECK120004681
ECK120000206	ECK120004682
ECK120000207	ECK120004683
ECK120000208	ECK120004684
ECK120000209	ECK120004685
ECK120000210	ECK120004686
ECK120000211	ECK120004687
ECK120000212	ECK120004688
ECK120000213	ECK120004689
ECK120000214	ECK120004690
ECK120000215	ECK120004691
ECK120000216	ECK120004692
ECK120000217	ECK120004693
